,schoolname,schoolcode,sssdistrict,ssslong,ssslat
51,"ST. AUGUSTINE'S COLLEGE, CAPE COAST",30101,Cape Coast Municipal,-1.306593895,5.153656006
52,"MFANTSIMAN GIRLS SENIOR HIGH. SCH, SALTPOND",30301,Mfantsiman (Saltpond),-1.006453395,5.201528072
53,"ARCHBISHOP PORTER SENIOR HIGH SCHOOL, SEKONDI",40103,Shama/Ahanta/East (Sekondi/Takoradi),-1.623654723,5.081101418
54,"ARCHBISHOP PORTER SENIOR HIGH SCHOOL, SEKONDI",40103,Shama/Ahanta/East (Sekondi/Takoradi),-1.623654723,5.081101418
55,"ST. PETER'S SENIOR HIGH SCH, NKWATIA-KWAHU",21003,Kwahu South (Mpraeso),-0.635528684,6.619226456
56,"POPE JOHN SENIOR HIGH & JNR. SEM. SCH., KOFORIDUA",20102,New Juaben (Koforidua),-0.297512323,6.112612724
57,"MFANTSIPIM SENIOR HIGH SCHOOL, CAPE COAST",30104,Cape Coast Municipal,-1.306593895,5.153656006
58,"ST. AUGUSTINE'S COLLEGE, CAPE COAST",30101,Cape Coast Municipal,-1.306593895,5.153656006
59,"ADISADEL COLLEGE, CAPE COAST",30102,Cape Coast Municipal,-1.306593895,5.153656006
60,"YAA ASANTEWAA GIRL'S SENIOR HIGH. SCHOOL, TANOSO",50201,Kumasi Metro,-1.597187161,6.682059765
61,"YAA ASANTEWAA GIRL'S SENIOR HIGH. SCHOOL, TANOSO",50201,Kumasi Metro,-1.597187161,6.682059765
62,"ANGLICAN SENIOR HIGH SCHOOL, ASEM-KUMASI",50107,Kumasi Metro,-1.597187161,6.682059765
63,"PREMPEH COLLEGE, KUMASI",50108,Kumasi Metro,-1.597187161,6.682059765
64,"POPE JOHN SENIOR HIGH & JNR. SEM. SCH., KOFORIDUA",20102,New Juaben (Koforidua),-0.297512323,6.112612724
65,"ST. LOUIS SENIOR HIGH. SCHOOL, ODOUM",50102,Kumasi Metro,-1.597187161,6.682059765
66,"GHANA NATIONAL COLLEGE, CAPE COAST",30106,Cape Coast Municipal,-1.306593895,5.153656006
67,"OKUAPEMAN SENIOR HIGH SCHOOL, AKROPONG",20402,Akwapim North (Akropong),-0.166071147,5.976426125
68,"PREMPEH COLLEGE, KUMASI",50108,Kumasi Metro,-1.597187161,6.682059765
69,"ACCRA GIRLS SENIOR HIGH. SCHOOL, MAMOBI",10112,Accra Metropolitan,-0.197115257,5.607395649
70,"ST. AUGUSTINE'S COLLEGE, CAPE COAST",30101,Cape Coast Municipal,-1.306593895,5.153656006
71,"GHANA NATIONAL COLLEGE, CAPE COAST",30106,Cape Coast Municipal,-1.306593895,5.153656006
72,"OLA GIRLS SENIOR HIGH SCHOOL, HO",70101,Ho Municipal,0.52614224,6.717607021
73,"MFANTSIPIM SENIOR HIGH SCHOOL, CAPE COAST",30104,Cape Coast Municipal,-1.306593895,5.153656006
74,"OKUAPEMAN SENIOR HIGH SCHOOL, AKROPONG",20402,Akwapim North (Akropong),-0.166071147,5.976426125
75,"ST. PETER'S SENIOR HIGH SCH, NKWATIA-KWAHU",21003,Kwahu South (Mpraeso),-0.635528684,6.619226456
76,"PRESBY BOYS SENIOR HIGH. SCHOOL, LEGON",10111,Ga West (Amasaman),-0.397510529,5.664687634
77,"ST. JAMES SEMINARY & SENIOR HIGH. SCHOOL, ABESIM",60106,Sunyani,-2.327423334,7.344677925
78,"GHANA SENIOR HIGH. SCH., KOFORIDUA",20104,New Juaben (Koforidua),-0.297512323,6.112612724
79,"ANGLICAN SENIOR HIGH SCHOOL, ASEM-KUMASI",50107,Kumasi Metro,-1.597187161,6.682059765
80,"KUMASI ACADEMY, ASOKORE MAMPONG",50105,Kumasi Metro,-1.597187161,6.682059765
81,"ADISADEL COLLEGE, CAPE COAST",30102,Cape Coast Municipal,-1.306593895,5.153656006
82,"KUMASI ACADEMY, ASOKORE MAMPONG",50105,Kumasi Metro,-1.597187161,6.682059765
83,"ACCRA ACADEMY, KANESHIE",10121,Accra Metropolitan,-0.197115257,5.607395649
84,"GHANA NATIONAL COLLEGE, CAPE COAST",30106,Cape Coast Municipal,-1.306593895,5.153656006
85,"LABONE SENIOR HIGH SCHOOL, LABONE-ACCRA",10117,Accra Metropolitan,-0.197115257,5.607395649
86,"ANGLICAN SENIOR HIGH SCHOOL, ASEM-KUMASI",50107,Kumasi Metro,-1.597187161,6.682059765
87,"ACHIMOTA SENIOR HIGH SCHOOL, ACHIMOTA-ACCRA",10110,Accra Metropolitan,-0.197115257,5.607395649
88,"YAA ASANTEWAA GIRL'S SENIOR HIGH. SCHOOL, TANOSO",50201,Kumasi Metro,-1.597187161,6.682059765
89,"ST. MONICA'S SENIOR HIGH. SCHOOL, MAMPONG",50502,Sekyere West (Mampong),-1.180076838,7.199564934
90,"ST. MONICA'S SENIOR HIGH. SCHOOL, MAMPONG",50502,Sekyere West (Mampong),-1.180076838,7.199564934
91,"T.I. AHMAD. SENIOR HIGH. SCHOOL, KUMASI",50104,Kumasi Metro,-1.597187161,6.682059765
92,"ST. JAMES SEMINARY & SENIOR HIGH. SCHOOL, ABESIM",60106,Sunyani,-2.327423334,7.344677925
93,"ST. MARY'S SENIOR HIGH. SCHOOL, KORLE GONNO",10102,Accra Metropolitan,-0.197115257,5.607395649
94,"ACCRA ACADEMY, KANESHIE",10121,Accra Metropolitan,-0.197115257,5.607395649
95,"AGGREY MEMORIAL A.M.E. ZION SENIOR HIGH. SCH., CAPE COAST",30401,Abura/Asebu/Kwamankese (Abura Dunkwa),-1.197088361,5.130000591
96,"ACCRA GIRLS SENIOR HIGH. SCHOOL, MAMOBI",10112,Accra Metropolitan,-0.197115257,5.607395649
97,"LABONE SENIOR HIGH SCHOOL, LABONE-ACCRA",10117,Accra Metropolitan,-0.197115257,5.607395649
98,"ACCRA GIRLS SENIOR HIGH. SCHOOL, MAMOBI",10112,Accra Metropolitan,-0.197115257,5.607395649
99,"OLA GIRLS SENIOR HIGH SCHOOL, HO",70101,Ho Municipal,0.52614224,6.717607021
100,"KUMASI ACADEMY, ASOKORE MAMPONG",50105,Kumasi Metro,-1.597187161,6.682059765
101,"ST. JAMES SEMINARY & SENIOR HIGH. SCHOOL, ABESIM",60106,Sunyani,-2.327423334,7.344677925
102,"ADISADEL COLLEGE, CAPE COAST",30102,Cape Coast Municipal,-1.306593895,5.153656006
103,"ANGLICAN SENIOR HIGH SCHOOL, ASEM-KUMASI",50107,Kumasi Metro,-1.597187161,6.682059765
104,"ADISADEL COLLEGE, CAPE COAST",30102,Cape Coast Municipal,-1.306593895,5.153656006
105,"KUMASI ACADEMY, ASOKORE MAMPONG",50105,Kumasi Metro,-1.597187161,6.682059765
106,"AGGREY MEMORIAL A.M.E. ZION SENIOR HIGH. SCH., CAPE COAST",30401,Abura/Asebu/Kwamankese (Abura Dunkwa),-1.197088361,5.130000591
107,"ACCRA ACADEMY, KANESHIE",10121,Accra Metropolitan,-0.197115257,5.607395649
108,"ACCRA GIRLS SENIOR HIGH. SCHOOL, MAMOBI",10112,Accra Metropolitan,-0.197115257,5.607395649
109,"GHANA SENIOR HIGH. SCH., KOFORIDUA",20104,New Juaben (Koforidua),-0.297512323,6.112612724
110,"MAWULI SENIOR HIGH. SCHOOL, HO",70102,Ho Municipal,0.52614224,6.717607021
111,"GHANA NATIONAL COLLEGE, CAPE COAST",30106,Cape Coast Municipal,-1.306593895,5.153656006
112,"OKUAPEMAN SENIOR HIGH SCHOOL, AKROPONG",20402,Akwapim North (Akropong),-0.166071147,5.976426125
113,"TEMA SENIOR HIGH. SCHOOL, TEMA COMM. 5",10201,Tema,-0.050088216,5.69031477
114,"ACCRA ACADEMY, KANESHIE",10121,Accra Metropolitan,-0.197115257,5.607395649
115,"LABONE SENIOR HIGH SCHOOL, LABONE-ACCRA",10117,Accra Metropolitan,-0.197115257,5.607395649
116,"GHANA SENIOR HIGH. SCH., KOFORIDUA",20104,New Juaben (Koforidua),-0.297512323,6.112612724
117,"KUMASI GIRLS SENIOR HIGH. SCHOOL, ABREPO",50103,Kumasi Metro,-1.597187161,6.682059765
118,"SUNYANI SENIOR HIGH SCHOOL, SUNYANI",60104,Sunyani,-2.327423334,7.344677925
119,"ST. AUGUSTINE'S COLLEGE, CAPE COAST",30101,Cape Coast Municipal,-1.306593895,5.153656006
120,"WINNEBA SENIOR HIGH SCHOOL, WINNEBA",30601,Awutu/Efutu/Senya (Winneba),-0.508638918,5.544896126
121,"TEMA SENIOR HIGH. SCHOOL, TEMA COMM. 5",10201,Tema,-0.050088216,5.69031477
122,"YAA ASANTEWAA GIRL'S SENIOR HIGH. SCHOOL, TANOSO",50201,Kumasi Metro,-1.597187161,6.682059765
123,"ARMED FORCES SENIOR HIGH/TECHNICAL SCHOOL, KUMASI",50113,Kumasi Metro,-1.597187161,6.682059765
124,"OKUAPEMAN SENIOR HIGH SCHOOL, AKROPONG",20402,Akwapim North (Akropong),-0.166071147,5.976426125
125,"AGGREY MEMORIAL A.M.E. ZION SENIOR HIGH. SCH., CAPE COAST",30401,Abura/Asebu/Kwamankese (Abura Dunkwa),-1.197088361,5.130000591
126,"ASANTEMAN SENIOR HIGH SCHOOL, BANTAMA",50101,Kumasi Metro,-1.597187161,6.682059765
127,"AFUA KOBI AMPEM GIRLS SENIOR HIGH. SCHOOL, TRABUOM",51701,Bosomtwe/Atwima/Kwanwoma (Kuntanase),-1.562751651,6.559322834
128,"MAWULI SENIOR HIGH. SCHOOL, HO",70102,Ho Municipal,0.52614224,6.717607021
129,"BISHOP HERMAN SENIOR HIGH. SCHOOL, KPANDO",70601,Kpando,0.267385125,6.89685154
130,"YAA ASANTEWAA GIRL'S SENIOR HIGH. SCHOOL, TANOSO",50201,Kumasi Metro,-1.597187161,6.682059765
131,"OLA GIRLS SENIOR HIGH. SCHOOL, KENYASI",61201,Asutifi (Kenyasi),-2.515068054,7.028093815
132,"WINNEBA SENIOR HIGH SCHOOL, WINNEBA",30601,Awutu/Efutu/Senya (Winneba),-0.508638918,5.544896126
133,"ASANTEMAN SENIOR HIGH SCHOOL, BANTAMA",50101,Kumasi Metro,-1.597187161,6.682059765
134,"ST. MONICA'S SENIOR HIGH. SCHOOL, MAMPONG",50502,Sekyere West (Mampong),-1.180076838,7.199564934
135,"ARMED FORCES SENIOR HIGH/TECHNICAL SCHOOL, KUMASI",50113,Kumasi Metro,-1.597187161,6.682059765
136,"T.I. AHMAD. SENIOR HIGH. SCHOOL, KUMASI",50104,Kumasi Metro,-1.597187161,6.682059765
137,"ANGLICAN SENIOR HIGH SCHOOL, ASEM-KUMASI",50107,Kumasi Metro,-1.597187161,6.682059765
138,"GHANA NATIONAL COLLEGE, CAPE COAST",30106,Cape Coast Municipal,-1.306593895,5.153656006
139,"GHANA SENIOR HIGH./TECH. SCHOOL, TAKORADI",40104,Shama/Ahanta/East (Sekondi/Takoradi),-1.623654723,5.081101418
140,"T.I. AHMAD. SENIOR HIGH. SCHOOL, KUMASI",50104,Kumasi Metro,-1.597187161,6.682059765
141,"KROBO GIRLS SENIOR HIGH SCHOOL, ODUMASE",21501,Manya Krobo (Odumase-Krobo),-0.127511591,6.414916515
142,"SUNYANI SENIOR HIGH SCHOOL, SUNYANI",60104,Sunyani,-2.327423334,7.344677925
143,"AFUA KOBI AMPEM GIRLS SENIOR HIGH. SCHOOL, TRABUOM",51701,Bosomtwe/Atwima/Kwanwoma (Kuntanase),-1.562751651,6.559322834
144,"WESLEY GRAMMAR SCHOOL, DANSOMAN",10103,Accra Metropolitan,-0.197115257,5.607395649
145,"KUMASI GIRLS SENIOR HIGH. SCHOOL, ABREPO",50103,Kumasi Metro,-1.597187161,6.682059765
146,"OLA GIRLS SENIOR HIGH. SCHOOL, KENYASI",61201,Asutifi (Kenyasi),-2.515068054,7.028093815
147,"LABONE SENIOR HIGH SCHOOL, LABONE-ACCRA",10117,Accra Metropolitan,-0.197115257,5.607395649
148,"KONONGO ODUMASE SENIOR HIGH. SCHOOL, ODUMASE",51002,Asante Akim North (Konongo),-1.017963052,6.834003925
149,"ST. MONICA'S SENIOR HIGH. SCHOOL, MAMPONG",50502,Sekyere West (Mampong),-1.180076838,7.199564934
150,"ARMED FORCES SENIOR HIGH/TECHNICAL SCHOOL, KUMASI",50113,Kumasi Metro,-1.597187161,6.682059765
151,"KUMASI ACADEMY, ASOKORE MAMPONG",50105,Kumasi Metro,-1.597187161,6.682059765
152,"OFORI PANIN SENIOR HIGH. SCH, KUKURANTUMI",21302,East Akim (Kibi),-0.454344213,6.178557873
153,"OFORI PANIN SENIOR HIGH. SCH, KUKURANTUMI",21302,East Akim (Kibi),-0.454344213,6.178557873
154,"KONONGO ODUMASE SENIOR HIGH. SCHOOL, ODUMASE",51002,Asante Akim North (Konongo),-1.017963052,6.834003925
155,"ST. MARTINS SENIOR HIGH. SCH., NSAWAM",20303,Akwapim South (Nsawam),-0.268249363,5.826002598
156,"SWEDRU SENIOR HIGH SCHOOL, SWEDRU",30905,Agona Swedru,-0.755242527,5.617353439
157,"NOTRE DAME GIRLS SENIOR HIGH. SCHOOL, SUNYANI",60107,Sunyani,-2.327423334,7.344677925
158,"FIJAI SENIOR HIGH. SCHOOL, SEKONDI",40105,Shama/Ahanta/East (Sekondi/Takoradi),-1.623654723,5.081101418
159,"YAA ASANTEWAA GIRL'S SENIOR HIGH. SCHOOL, TANOSO",50201,Kumasi Metro,-1.597187161,6.682059765
160,"OLA GIRLS SENIOR HIGH SCHOOL, HO",70101,Ho Municipal,0.52614224,6.717607021
161,"KUMASI HIGH SCHOOL, ATONSU GYENASE",50111,Kumasi Metro,-1.597187161,6.682059765
162,"T.I. AHMAD. SENIOR HIGH. SCHOOL, KUMASI",50104,Kumasi Metro,-1.597187161,6.682059765
163,"NEW JUABEN SENIOR HIGH./COMM. SCH., KOFORIDUA",20103,New Juaben (Koforidua),-0.297512323,6.112612724
164,"FIJAI SENIOR HIGH. SCHOOL, SEKONDI",40105,Shama/Ahanta/East (Sekondi/Takoradi),-1.623654723,5.081101418
165,"KROBO GIRLS SENIOR HIGH SCHOOL, ODUMASE",21501,Manya Krobo (Odumase-Krobo),-0.127511591,6.414916515
166,"MAWULI SENIOR HIGH. SCHOOL, HO",70102,Ho Municipal,0.52614224,6.717607021
167,"GHANA SENIOR HIGH. SCH., KOFORIDUA",20104,New Juaben (Koforidua),-0.297512323,6.112612724
168,"KSI WESLEY GIRLS' HIGH SCHOOL, KUMASI",50114,Kumasi Metro,-1.597187161,6.682059765
169,"AGGREY MEMORIAL A.M.E. ZION SENIOR HIGH. SCH., CAPE COAST",30401,Abura/Asebu/Kwamankese (Abura Dunkwa),-1.197088361,5.130000591
170,"TEMA SENIOR HIGH. SCHOOL, TEMA COMM. 5",10201,Tema,-0.050088216,5.69031477
171,"SUNYANI SENIOR HIGH SCHOOL, SUNYANI",60104,Sunyani,-2.327423334,7.344677925
172,"KUMASI ACADEMY, ASOKORE MAMPONG",50105,Kumasi Metro,-1.597187161,6.682059765
173,"APAM SENIOR HIGH SCHOOL, APAM",30501,Gomoa (Apam),-0.723635495,5.404561043
174,"APAM SENIOR HIGH SCHOOL, APAM",30501,Gomoa (Apam),-0.723635495,5.404561043
175,"SWEDRU SENIOR HIGH SCHOOL, SWEDRU",30905,Agona Swedru,-0.755242527,5.617353439
176,"NOTRE DAME GIRLS SENIOR HIGH. SCHOOL, SUNYANI",60107,Sunyani,-2.327423334,7.344677925
177,"KOFORIDUA SENIOR HIGH./TECH. SCH., KOFORIDUA",20101,New Juaben (Koforidua),-0.297512323,6.112612724
178,"WESLEY GRAMMAR SCHOOL, DANSOMAN",10103,Accra Metropolitan,-0.197115257,5.607395649
179,"GHANA SENIOR HIGH./TECH. SCHOOL, TAKORADI",40104,Shama/Ahanta/East (Sekondi/Takoradi),-1.623654723,5.081101418
180,"ST. MARY'S SENIOR HIGH. SCHOOL, KORLE GONNO",10102,Accra Metropolitan,-0.197115257,5.607395649
181,"ABUAKWA STATE COLLEGE, KIBI",21303,East Akim (Kibi),-0.454344213,6.178557873
182,"ACHIMOTA SENIOR HIGH SCHOOL, ACHIMOTA-ACCRA",10110,Accra Metropolitan,-0.197115257,5.607395649
183,"OKUAPEMAN SENIOR HIGH SCHOOL, AKROPONG",20402,Akwapim North (Akropong),-0.166071147,5.976426125
184,"MFANTSIMAN GIRLS SENIOR HIGH. SCH, SALTPOND",30301,Mfantsiman (Saltpond),-1.006453395,5.201528072
185,"AGGREY MEMORIAL A.M.E. ZION SENIOR HIGH. SCH., CAPE COAST",30401,Abura/Asebu/Kwamankese (Abura Dunkwa),-1.197088361,5.130000591
186,"FIJAI SENIOR HIGH. SCHOOL, SEKONDI",40105,Shama/Ahanta/East (Sekondi/Takoradi),-1.623654723,5.081101418
187,"WINNEBA SENIOR HIGH SCHOOL, WINNEBA",30601,Awutu/Efutu/Senya (Winneba),-0.508638918,5.544896126
188,"OLA GIRLS SENIOR HIGH. SCHOOL, KENYASI",61201,Asutifi (Kenyasi),-2.515068054,7.028093815
189,"NEW JUABEN SENIOR HIGH./COMM. SCH., KOFORIDUA",20103,New Juaben (Koforidua),-0.297512323,6.112612724
190,"ASANTEMAN SENIOR HIGH SCHOOL, BANTAMA",50101,Kumasi Metro,-1.597187161,6.682059765
191,"LABONE SENIOR HIGH SCHOOL, LABONE-ACCRA",10117,Accra Metropolitan,-0.197115257,5.607395649
192,"WESLEY GRAMMAR SCHOOL, DANSOMAN",10103,Accra Metropolitan,-0.197115257,5.607395649
193,"OFORI PANIN SENIOR HIGH. SCH, KUKURANTUMI",21302,East Akim (Kibi),-0.454344213,6.178557873
194,"KSI WESLEY GIRLS' HIGH SCHOOL, KUMASI",50114,Kumasi Metro,-1.597187161,6.682059765
195,"TEMA SENIOR HIGH. SCHOOL, TEMA COMM. 5",10201,Tema,-0.050088216,5.69031477
196,"S.D.A SENIOR HIGH SCHOOL, BEKWAI",50301,Amansie East (Bekwai),-1.37072885,6.383360863
197,"ASANTEMAN SENIOR HIGH SCHOOL, BANTAMA",50101,Kumasi Metro,-1.597187161,6.682059765
198,"T.I. AHMAD. SENIOR HIGH. SCHOOL, KUMASI",50104,Kumasi Metro,-1.597187161,6.682059765
199,"ST THOMAS AQUINAS SENIOR HIGH. SCHOOL, CANTONMENTS",10105,Accra Metropolitan,-0.197115257,5.607395649
200,"ST JOHN'S GRAMMAR SENIOR HIGH. SCH., NEW ACHIMOTA",10501,Ga West (Amasaman),-0.397510529,5.664687634
201,"TAMALE SENIOR HIGH SCHOOL, TAMALE",80101,Tamale,-0.784348249,9.383351326
202,"SUNYANI SENIOR HIGH SCHOOL, SUNYANI",60104,Sunyani,-2.327423334,7.344677925
203,"KOFORIDUA SENIOR HIGH./TECH. SCH., KOFORIDUA",20101,New Juaben (Koforidua),-0.297512323,6.112612724
204,"KOFORIDUA SENIOR HIGH./TECH. SCH., KOFORIDUA",20101,New Juaben (Koforidua),-0.297512323,6.112612724
205,"TEMA SENIOR HIGH. SCHOOL, TEMA COMM. 5",10201,Tema,-0.050088216,5.69031477
206,"NOTRE DAME SEMINARY SENIOR HIGH SCHOOL, NAVRONGO",90505,Kassena/Nankani (Navrongo),-1.217440963,10.90942287
207,"ST. MONICA'S SENIOR HIGH. SCHOOL, MAMPONG",50502,Sekyere West (Mampong),-1.180076838,7.199564934
208,"ST. MARTINS SENIOR HIGH. SCH., NSAWAM",20303,Akwapim South (Nsawam),-0.268249363,5.826002598
209,"KUMASI GIRLS SENIOR HIGH. SCHOOL, ABREPO",50103,Kumasi Metro,-1.597187161,6.682059765
210,"KOFORIDUA SENIOR HIGH./TECH. SCH., KOFORIDUA",20101,New Juaben (Koforidua),-0.297512323,6.112612724
211,"ST JOHN'S GRAMMAR SENIOR HIGH. SCH., NEW ACHIMOTA",10501,Ga West (Amasaman),-0.397510529,5.664687634
212,"SUNYANI SENIOR HIGH SCHOOL, SUNYANI",60104,Sunyani,-2.327423334,7.344677925
213,"KPANDO SENIOR HIGH SCHOOL, KPANDO",70602,Kpando,0.267385125,6.89685154
214,"ST JOHN'S GRAMMAR SENIOR HIGH. SCH., NEW ACHIMOTA",10501,Ga West (Amasaman),-0.397510529,5.664687634
215,"KROBO GIRLS SENIOR HIGH SCHOOL, ODUMASE",21501,Manya Krobo (Odumase-Krobo),-0.127511591,6.414916515
216,"KONONGO ODUMASE SENIOR HIGH. SCHOOL, ODUMASE",51002,Asante Akim North (Konongo),-1.017963052,6.834003925
217,"NUNGUA SENIOR HIGH. SCHOOL, NUNGUA",10114,Accra Metropolitan,-0.197115257,5.607395649
218,"GHANA SENIOR HIGH. SCH., KOFORIDUA",20104,New Juaben (Koforidua),-0.297512323,6.112612724
219,"OFORI PANIN SENIOR HIGH. SCH, KUKURANTUMI",21302,East Akim (Kibi),-0.454344213,6.178557873
220,"ACCRA HIGH SCHOOL, ASYLUM DOWN, ACCRA",10106,Accra Metropolitan,-0.197115257,5.607395649
221,"ACCRA HIGH SCHOOL, ASYLUM DOWN, ACCRA",10106,Accra Metropolitan,-0.197115257,5.607395649
222,"KROBO GIRLS SENIOR HIGH SCHOOL, ODUMASE",21501,Manya Krobo (Odumase-Krobo),-0.127511591,6.414916515
223,"KUMASI HIGH SCHOOL, ATONSU GYENASE",50111,Kumasi Metro,-1.597187161,6.682059765
224,"ACCRA ACADEMY, KANESHIE",10121,Accra Metropolitan,-0.197115257,5.607395649
225,"SWEDRU SENIOR HIGH SCHOOL, SWEDRU",30905,Agona Swedru,-0.755242527,5.617353439
